timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793640185,499,Gets all users,200,OK,Stress Test 1-8,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,499,0,389
1670793640684,114,Delete Request,200,OK,Stress Test 1-8,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,114,0,0
1670793640798,110,Get by ID Request,200,OK,Stress Test 1-8,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793640909,109,Put Request,200,OK,Stress Test 1-8,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793641018,109,Post Request,200,OK,Stress Test 1-8,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793642182,493,Gets all users,200,OK,Stress Test 1-9,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,493,0,382
1670793642676,111,Delete Request,200,OK,Stress Test 1-9,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793642787,112,Get by ID Request,200,OK,Stress Test 1-9,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793642900,110,Put Request,200,OK,Stress Test 1-9,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793643010,111,Post Request,200,OK,Stress Test 1-9,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,111,0,0
1670793644185,527,Gets all users,200,OK,Stress Test 1-10,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,526,0,407
1670793644712,112,Delete Request,200,OK,Stress Test 1-10,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793644825,110,Get by ID Request,200,OK,Stress Test 1-10,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793644935,112,Put Request,200,OK,Stress Test 1-10,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793645047,110,Post Request,200,OK,Stress Test 1-10,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793646183,556,Gets all users,200,OK,Stress Test 1-11,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,555,0,442
1670793646740,114,Delete Request,200,OK,Stress Test 1-11,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,114,0,0
1670793646855,111,Get by ID Request,200,OK,Stress Test 1-11,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793646967,112,Put Request,200,OK,Stress Test 1-11,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793647080,111,Post Request,200,OK,Stress Test 1-11,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,111,0,0
1670793648185,523,Gets all users,200,OK,Stress Test 1-12,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,523,0,412
1670793648708,111,Delete Request,200,OK,Stress Test 1-12,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793648820,110,Get by ID Request,200,OK,Stress Test 1-12,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793648932,110,Put Request,200,OK,Stress Test 1-12,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
