timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793200633,497,Gets all users,200,OK,Endurance Test 1-8,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,497,0,373
1670793201130,111,Delete Request,200,OK,Endurance Test 1-8,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793201241,110,Get by ID Request,200,OK,Endurance Test 1-8,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793201352,110,Put Request,200,OK,Endurance Test 1-8,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793201463,110,Post Request,200,OK,Endurance Test 1-8,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793202631,481,Gets all users,200,OK,Endurance Test 1-9,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,481,0,372
1670793203113,111,Delete Request,200,OK,Endurance Test 1-9,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793203224,110,Get by ID Request,200,OK,Endurance Test 1-9,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793203345,110,Put Request,200,OK,Endurance Test 1-9,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793203455,111,Post Request,200,OK,Endurance Test 1-9,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793204631,511,Gets all users,200,OK,Endurance Test 1-10,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,510,0,388
1670793205142,108,Delete Request,200,OK,Endurance Test 1-10,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,108,0,0
